"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 02:51:16","Безалкогольные напитки (соки/воды)","Иркутская область","Иркутская обл, г Братск, жилрайон Центральный, ул Пихтовая, 76","459617380440700709506482","0104600338007281215MuX+RIPJK?>M",,"","2025-06-12 13:38:00","3849058599","1b4a44cd-b5b3-4586-ac08-122c14198671","Нет",,,,,,,,"04600338007281","0da88a46-99b8-4538-b2f3-1d22c474f766","Братск","7380440700709506","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 02:51:16","Безалкогольные напитки (соки/воды)","Иркутская область","Иркутская обл, г Братск, жилрайон Центральный, ул Пихтовая, 76","459617380440700709506482","0104600338007281215g3t-VWQFj9da",,"","2025-06-12 13:38:00","3849058599","b268eba3-5b68-4862-8bd9-adc19f3055f9","Нет",,,,,,,,"04600338007281","0da88a46-99b8-4538-b2f3-1d22c474f766","Братск","7380440700709506","Да"
