"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 13:53:12","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43900738044070013672723","0104680062940016215;qn,M",,"0008180969026672","2025-06-15 17:41:00","2724235106","70d57beb-f534-462a-a7b9-a7237c07d444","Нет",,,,,,,,"04680062940016","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:48:36","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","178647380440801740631482","0104660214292538215aKzPc",,"","2025-06-15 17:35:00","2724235106","4312208f-835d-49c5-b695-5de4fa3d3d2c","Нет",,,,,,,,"04660214292538","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 13:33:29","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43893738044070013672723","0104607147564653215clLe5",,"0008180969026672","2025-06-15 17:09:00","2724235106","7ae376d9-51f1-4295-82a7-06666a65e13d","Нет",,,,,,,,"04607147564653","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:30:19","Молочная продукция","Еврейская автономная область","Еврейская Аобл, Облученский р-н, г Облучье, ул Денисова, 5А","172027281440701628191482","0104660214292538215rB+ae",,"","2025-06-15 17:03:00","2724235106","73c2b8a7-158b-435b-9de9-aa79603aef7f","Нет",,,,,,,,"04660214292538","9b8f585b-7a8f-4afa-bc30-2eafa51b86e0","Облученский","7281440701628191","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:22:14","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","178547380440801740631482","0104660214292538215-hYzC",,"","2025-06-15 16:55:00","2724235106","b7e1ccf7-dd02-466a-92ef-dbd1ed66faf2","Нет",,,,,,,,"04660214292538","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:46:33","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43887738044070013672723","0104602358004721215IhJX1",,"0008180969026672","2025-06-15 16:26:00","2724235106","f10d839a-8afe-43b3-91f5-cd1ababa0347","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:46:33","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43887738044070013672723","0104602358004721215SF/rF",,"0008180969026672","2025-06-15 16:26:00","2724235106","311e8149-98da-4c82-9041-1993dc4fb33d","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:46:33","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43887738044070013672723","0104602358004721215fhnik",,"0008180969026672","2025-06-15 16:26:00","2724235106","45ed561f-bcc2-4a58-8475-0169e941ac58","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:46:33","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43887738044070013672723","0104602358004752215:x*U?",,"0008180969026672","2025-06-15 16:26:00","2724235106","c806d466-1862-4de7-8150-19c3b402523a","Нет",,,,,,,,"04602358004752","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:46:33","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43887738044070013672723","0104606779973307215NvRYJ",,"0008180969026672","2025-06-15 16:26:00","2724235106","82d7001e-8638-4b17-a4e2-63b40794416f","Нет",,,,,,,,"04606779973307","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:46:33","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43887738044070013672723","0104606779973307215JRRf4",,"0008180969026672","2025-06-15 16:26:00","2724235106","3b7ae610-bbed-4cf2-8425-e09f4d5cb1c8","Нет",,,,,,,,"04606779973307","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:46:33","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43887738044070013672723","0104606779973307215hsakt",,"0008180969026672","2025-06-15 16:26:00","2724235106","f2470da4-8317-43c1-a9fb-3bbf7e7504db","Нет",,,,,,,,"04606779973307","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:41:41","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43886738044070013672723","0104607954670851215sP!&s",,"0008180969026672","2025-06-15 16:23:00","2724235106","3a9b2a0b-9a71-4e8a-8296-1f9ebd75efb2","Нет",,,,,,,,"04607954670851","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:41:41","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43886738044070013672723","0104607168785402215ARdtY",,"0008180969026672","2025-06-15 16:23:00","2724235106","e01022df-bd5a-48d9-87d6-9c24dc76e93e","Нет",,,,,,,,"04607168785402","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:41:39","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43886738044070013672723","0104605627011581215X_toZ",,"0008180969026672","2025-06-15 16:23:00","2724235106","0e7544d7-aea7-4370-9036-68a1b268da21","Нет",,,,,,,,"04605627011581","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
