"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 05:22:39","Легкая промышленность","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, пр-кт Победы, 33, к 1","540987284440700591744482","0104627104448017215gaF>l7/hs17-",,"","2025-06-03 14:59:00","2724235106","c8c9a8d6-8cd7-469b-8458-d47e6267572f","Нет",,,,,,,,"04627104448017","45d2b6ec-ffbc-48c5-9116-1930e25c17a7","Комсомольск-на-Амуре","7284440700591744","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 05:22:39","Легкая промышленность","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, пр-кт Победы, 33, к 1","540987284440700591744482","0104627104448017215GaFi-qf:YLmb",,"","2025-06-03 14:59:00","2724235106","0378f869-72e1-47c0-aac2-333a79a9844a","Нет",,,,,,,,"04627104448017","45d2b6ec-ffbc-48c5-9116-1930e25c17a7","Комсомольск-на-Амуре","7284440700591744","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 05:22:39","Легкая промышленность","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, пр-кт Победы, 33, к 1","540987284440700591744482","0104627104448017215gAdVWT,_XM*C",,"","2025-06-03 14:59:00","2724235106","b1636d03-e734-4a8c-990e-e5922a68df2c","Нет",,,,,,,,"04627104448017","45d2b6ec-ffbc-48c5-9116-1930e25c17a7","Комсомольск-на-Амуре","7284440700591744","Да"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:39:23","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43675738044070013672723","0104610235660182215So3oWlmZgeha",,"0008180969026672","2025-06-14 14:33:00","2724235106","9f636165-0c2a-4260-9e99-6ea680632f83","Нет",,,,,,,,"04610235660182","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:39:23","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43675738044070013672723","0104610235660182215!Dcs!pw9J>0a",,"0008180969026672","2025-06-14 14:33:00","2724235106","eb7c5e5d-86cf-44a0-adff-b8c9140a01f7","Нет",,,,,,,,"04610235660182","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:39:23","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43675738044070013672723","0104610235660182215UVy)RDhfp?GB",,"0008180969026672","2025-06-14 14:33:00","2724235106","3f18e7c7-9d98-4206-913a-3a9b4614cc42","Нет",,,,,,,,"04610235660182","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:00:37","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43655738044070013672723","0104630257777453215mgJzBMixR.'W",,"0008180969026672","2025-06-14 13:57:00","2724235106","d1193916-35d2-4109-acd6-67dcdeb3064a","Нет",,,,,,,,"04630257777453","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 03:20:49","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43637738044070013672723","01046271044480172157kgT>LgiDL?q",,"0008180969026672","2025-06-14 13:18:00","2724235106","04337977-d7ec-4882-81f7-6d5da18a3957","Нет",,,,,,,,"04627104448017","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 03:20:49","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43637738044070013672723","01046271044480172157NRo,?MepPfp",,"0008180969026672","2025-06-14 13:18:00","2724235106","3143c37d-51f3-45bd-9e50-f7a0c65e4353","Нет",,,,,,,,"04627104448017","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 03:20:49","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43637738044070013672723","01046271044480172157nrTUvZevGMU",,"0008180969026672","2025-06-14 13:18:00","2724235106","1aae8bd6-4ba7-4e14-81d9-98920a7b4e8c","Нет",,,,,,,,"04627104448017","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 03:20:49","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43637738044070013672723","01046271044480172157kc>4cb4Io;K",,"0008180969026672","2025-06-14 13:18:00","2724235106","49a747f8-e9e9-4dd7-bc56-99e3c5b31b99","Нет",,,,,,,,"04627104448017","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 03:20:49","Легкая промышленность","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43637738044070013672723","01046271044480172157NlBMqoOQ%jk",,"0008180969026672","2025-06-14 13:18:00","2724235106","2647b405-377a-469b-a33b-2fafb987f221","Нет",,,,,,,,"04627104448017","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
