"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:50:07","Легкая промышленность","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","2660738044080212214923","0104610235667914215+qNA=1&U-G0i",,"0000480852018314","2025-06-14 11:48:00","2462221738","b11419e5-bc6a-4c4a-8d79-4da8ebbc17f6","Нет",,,,,,,,"04610235667914","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:50:07","Легкая промышленность","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","2660738044080212214923","0104610235667938215?dZWad*YrmFs",,"0000480852018314","2025-06-14 11:48:00","2462221738","da73c3fc-1bfb-4131-a348-171008217f93","Нет",,,,,,,,"04610235667938","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:50:07","Легкая промышленность","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","2660738044080212214923","0104610235667938215?cqzT+ylQTyP",,"0000480852018314","2025-06-14 11:48:00","2462221738","19dc1bd1-a5e3-446b-9271-00f062b8c6c6","Нет",,,,,,,,"04610235667938","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:05:13","Легкая промышленность","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","2634738044080212214923","0104670111545545215*>RTRFVdGF:)",,"0000480852018314","2025-06-14 11:01:00","2462221738","2c1e7496-592b-4a24-8a0e-b07f5d6d18d8","Нет",,,,,,,,"04670111545545","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 04:05:12","Легкая промышленность","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","2634738044080212214923","0104610235667938215?cp0IMTJjREw",,"0000480852018314","2025-06-14 11:01:00","2462221738","87024c51-4244-4ab7-993c-9ba1dc2f2640","Нет",,,,,,,,"04610235667938","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
