"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 11:53:52","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","261167380440700704478482","0104601501037760215P;(hCG",,"","2025-06-06 14:34:00","7536113009","c394ed23-f236-4c78-8f25-6a03a8bdd07f","Нет",,,,,,,,"04601501037760","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 11:53:52","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","261167380440700704478482","0104601501037760215cIBR8)",,"","2025-06-06 14:34:00","7536113009","49664e11-56f0-4eda-a958-f97716b0cf21","Нет",,,,,,,,"04601501037760","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 11:31:33","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Кабанская, 51","131987380440700704107482","0104601501037760215HgFHpO",,"","2025-06-10 18:32:00","7536113009","effb6aab-b091-406e-b19d-a5083df9c51b","Нет",,,,,,,,"04601501037760","d94e6587-2042-4db3-903e-5fb97112fc09","Улан-Удэ","7380440700704107","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 08:59:31","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Кабанская, 51","131987380440700704107482","0104601501037760215jPkph!",,"","2025-06-10 18:32:00","7536113009","4b2b2b0b-167d-4fb8-857e-6cb8345e2baa","Нет",,,,,,,,"04601501037760","d94e6587-2042-4db3-903e-5fb97112fc09","Улан-Удэ","7380440700704107","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 08:59:31","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Кабанская, 51","131987380440700704107482","0104601501037760215njYnjR",,"","2025-06-10 18:32:00","7536113009","41869ce8-5026-4c0e-a603-a2aa5516edbd","Нет",,,,,,,,"04601501037760","d94e6587-2042-4db3-903e-5fb97112fc09","Улан-Удэ","7380440700704107","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 08:39:36","Пиво и пивные напитки","Забайкальский край","Забайкальский край, Читинский р-н, пгт Новокручининский, ул Северная, 23А, стр 5","161117380440700708528482","0104601501289114215IL6RDo",,"","2025-05-20 16:28:00","7536113009","c1ba2313-efbd-4010-9b9d-61e1351118a5","Нет",,,,,,,,"04601501289114","e527c6db-7368-4263-ab79-f05f4b9b1925","Читинский","7380440700708528","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 06:32:00","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Комарова, 119","585567281440500982102482","0104601501037760215ZTtDo,",,"","2025-05-23 15:40:00","7536113009","1cac1823-6ceb-4fd2-9e44-812bb2ec0a3e","Нет",,,,,,,,"04601501037760","cac2bf10-f5a8-430a-aec5-2f25d49b11a9","Улан-Удэ","7281440500982102","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 06:32:00","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Комарова, 119","585577281440500982102482","0104601501037760215ZPzixP",,"","2025-05-23 15:46:00","7536113009","05510828-69bf-4fff-9e9b-fe3b4dc87c1c","Нет",,,,,,,,"04601501037760","cac2bf10-f5a8-430a-aec5-2f25d49b11a9","Улан-Удэ","7281440500982102","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 06:27:43","Пиво и пивные напитки","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Комарова, 119","585567281440500982102482","0104601501037760215r""o%-4",,"","2025-05-23 15:40:00","7536113009","1a65eaa2-ad57-4273-b7bf-2ec7ffa7aef3","Нет",,,,,,,,"04601501037760","cac2bf10-f5a8-430a-aec5-2f25d49b11a9","Улан-Удэ","7281440500982102","Да"
