"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:00:02","Молочная продукция","Красноярский край","Красноярский край, г Енисейск, ул Рабоче-Крестьянская, 210","105707380440801710622482","01046037313100402156ND0>",,"","2025-06-15 13:33:00","2465254026","b53560c4-a11f-4407-ba60-bff307c02fb5","Нет",,,,,,,,"04603731310040","0855a9be-bd82-4788-a85d-71e168e56183","Енисейск","7380440801710622","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:54","Молочная продукция","Красноярский край","Красноярский край, г Енисейск, ул Рабоче-Крестьянская, 210","105507380440801710622482","0104603731310040215JGkOi",,"","2025-06-15 12:53:00","2465254026","53f30602-063a-438e-8407-a65ddd35fd26","Нет",,,,,,,,"04603731310040","0855a9be-bd82-4788-a85d-71e168e56183","Енисейск","7380440801710622","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:54","Молочная продукция","Красноярский край","Красноярский край, г Енисейск, ул Рабоче-Крестьянская, 210","105507380440801710622482","0104603731310040215Ot+Qz",,"","2025-06-15 12:53:00","2465254026","59066283-d860-48ad-a123-5a6b5f0a75d4","Нет",,,,,,,,"04603731310040","0855a9be-bd82-4788-a85d-71e168e56183","Енисейск","7380440801710622","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:52:16","Молочная продукция","Красноярский край","Красноярский край, г Красноярск, пр-кт Металлургов, 2Р","264247384440800033120482","0104603731310040215zUTq:",,"","2025-06-15 12:47:00","2465254026","2d6e5e27-16fc-4877-b49f-1a2ad05d310b","Нет",,,,,,,,"04603731310040","7314be3f-d029-4869-b6d0-c4d2780fd3c3","Красноярск","7384440800033120","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:17:07","Молочная продукция","Красноярский край","Красноярский край, г Енисейск, ул Рабоче-Крестьянская, 210","105347380440801710622482","0104603731310040215/TGjC",,"","2025-06-15 12:11:00","2465254026","cef8ea0e-fb19-4cdf-9606-87bc109f3dd9","Нет",,,,,,,,"04603731310040","0855a9be-bd82-4788-a85d-71e168e56183","Енисейск","7380440801710622","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 08:38:05","Молочная продукция","Красноярский край","Красноярский край, г Красноярск, ул Аральская, 16А","624427284440700608460482","0104603731310040215zHa*o",,"","2025-06-15 09:35:00","2465254026","32af8e17-3675-4141-9f5a-e4a4b21b417f","Нет",,,,,,,,"04603731310040","2a1db11b-c344-42d0-a53c-63860056149c","Красноярск","7284440700608460","Да"
