"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:12:36","Молочная продукция","Алтайский край","Алтайский край, Михайловский р-н, с Михайловское, ул Некрасова, 56","189867380440801141693482","0104627175131177215pnGlJ",,"","2025-06-15 13:02:00","2224156015","b1bbe30e-9787-406d-972e-f471d84aac53","Нет",,,,,,,,"04627175131177","a95a04b4-3180-48e4-843b-1da73a0953de","Михайловский","7380440801141693","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:12:35","Молочная продукция","Алтайский край","Алтайский край, г Бийск, ул Иркутская, 12","8767380440902230489482","0104603731310057215h)FnL",,"","2025-06-15 13:03:00","2224156015","67b60db8-af43-4e75-b969-8f1f719a01a9","Нет",,,,,,,,"04603731310057","5e545771-804a-4a02-adbe-523c1293d379","Бийск","7380440902230489","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:11:32","Молочная продукция","Алтайский край","Алтайский край, Павловский р-н, с Павловск, ул Л.Толстого, 18","630247281440500397651482","0104627175131177215FsLWR",,"","2025-06-15 13:02:00","2224156015","9074d168-6616-48e5-93e2-bbdd171deae0","Нет",,,,,,,,"04627175131177","896a4fc7-2594-4a6c-8faf-f4c35b1063e8","Павловский","7281440500397651","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:11:32","Молочная продукция","Алтайский край","Алтайский край, Каменский р-н, г Камень-на-Оби, ул Гагарина, 111","638417380440700441963482","0104627175131030215KkdWq",,"","2025-06-15 13:03:00","2224156015","b310c32f-2e12-41b3-93e8-7a9a39ddeacb","Нет",,,,,,,,"04627175131030","37ac4795-fe14-40fc-8b4c-e7e750b2fb40","Каменский","7380440700441963","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:07:42","Молочная продукция","Алтайский край","Алтайский край, Поспелихинский р-н, с Поспелиха, ул Коммунистическая, 103","594097380440700444948482","0104627175131177215TEKdt",,"","2025-06-15 13:00:00","2224156015","5beb9859-c91c-46ec-b607-a6f138e58895","Нет",,,,,,,,"04627175131177","eb097554-7e17-44f6-accc-4687168ebe9c","Поспелихинский","7380440700444948","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:07:42","Молочная продукция","Алтайский край","Алтайский край, Михайловский р-н, с Михайловское, ул Некрасова, 56","189837380440801141693482","0104627175131177215PnbtR",,"","2025-06-15 13:00:00","2224156015","67eef1a5-2f00-4164-815b-2f2639f8b47f","Нет",,,,,,,,"04627175131177","a95a04b4-3180-48e4-843b-1da73a0953de","Михайловский","7380440801141693","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, Тальменский р-н, рп Тальменка, ул Куйбышева, 59А","38507380440902229433482","0104627175131177215xugO/",,"","2025-06-15 12:59:00","2224156015","73a2545f-e040-4edf-b280-a7505069b5d3","Нет",,,,,,,,"04627175131177","745872ac-b60d-451f-98b7-4757a1698938","Тальменский","7380440902229433","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, Тальменский р-н, рп Тальменка, ул Куйбышева, 59А","38507380440902229433482","0104627175131177215VVJt""",,"","2025-06-15 12:59:00","2224156015","f7403472-e09b-44ba-a164-5d66b726d31a","Нет",,,,,,,,"04627175131177","745872ac-b60d-451f-98b7-4757a1698938","Тальменский","7380440902229433","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, г Новоалтайск, ул Переездная, 4/6","520067380440700664502482","0104627175131030215W+Hq5",,"","2025-06-15 13:00:00","2224156015","9e05137d-1d17-4bd6-a136-e98096d6ab70","Нет",,,,,,,,"04627175131030","3cf285c0-1815-4303-bcb4-36f63f1b675b","Новоалтайск","7380440700664502","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, г Яровое, ул Комарова, 4Г","223567380440801169243482","0104627175131177215eEboE",,"","2025-06-15 12:59:00","2224156015","c9301ac5-4459-420c-a836-1701f59e625c","Нет",,,,,,,,"04627175131177","ea06aec6-ce9c-4f91-abbc-28d0cf3f72fc","Яровое","7380440801169243","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, г Барнаул, пр-кт Калинина, 57/1","42597380440801371895482","01046271751311772159&PyG",,"","2025-06-15 12:59:00","2224156015","1d345638-59f4-44bc-be65-089ec40a427d","Нет",,,,,,,,"04627175131177","1b6764df-c56e-4218-9d1d-e2ddbf66300b","Барнаул","7380440801371895","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Октябрьская, 84","11427380440801075314482","0104627175131177215,dSjs",,"","2025-06-15 13:00:00","2224156015","1ebe4e8c-0982-46e9-a981-cadbfee50e47","Нет",,,,,,,,"04627175131177","f427bc81-ceb4-4b17-935e-8e6902926805","Рубцовск","7380440801075314","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, Тальменский р-н, рп Тальменка, ул Куйбышева, 59А","38507380440902229433482","0104627175131177215XWeU'",,"","2025-06-15 12:59:00","2224156015","8313580d-b5b4-4758-81b5-f399307778de","Нет",,,,,,,,"04627175131177","745872ac-b60d-451f-98b7-4757a1698938","Тальменский","7380440902229433","Да"
