"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:32:09","Молочная продукция","Приморский край","Приморский край, Надеждинский р-н, с Прохладное, ул Центральная, 36","150167284440700590382482","0104610007723176215E(+Wf",,"","2025-06-15 19:28:00","2502054596","372efd92-0419-455e-b265-46aa6a2ad7ef","Нет",,,,,,,,"04610007723176","878664c8-8024-4dfe-9971-454788f4c1ad","Надеждинский","7284440700590382","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:32:09","Молочная продукция","Приморский край","Приморский край, Надеждинский р-н, с Прохладное, ул Центральная, 36","150167284440700590382482","0104610007723176215dI7FY",,"","2025-06-15 19:28:00","2502054596","ae4c5515-8ec6-4ffa-9383-365bde6c7579","Нет",,,,,,,,"04610007723176","878664c8-8024-4dfe-9971-454788f4c1ad","Надеждинский","7284440700590382","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 09:47:48","Молочная продукция","Приморский край","Приморский край, Надеждинский р-н, с Прохладное, ул Центральная, 36","198957284440700590512482","0104610007723176215fsv""T",,"","2025-06-15 13:44:00","2502054596","6828d067-33de-4a73-a944-c7d4d09274b4","Нет",,,,,,,,"04610007723176","878664c8-8024-4dfe-9971-454788f4c1ad","Надеждинский","7284440700590512","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 09:47:48","Молочная продукция","Приморский край","Приморский край, Надеждинский р-н, с Прохладное, ул Центральная, 36","198957284440700590512482","0104610007723176215e)D'T",,"","2025-06-15 13:44:00","2502054596","b659c55c-1b1c-4d0d-af68-536af4901232","Нет",,,,,,,,"04610007723176","878664c8-8024-4dfe-9971-454788f4c1ad","Надеждинский","7284440700590512","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 05:42:45","Молочная продукция","Приморский край","Приморский край, Надеждинский р-н, с Прохладное, ул Центральная, 36","198097284440700590512482","0104610007723176215E(Ibt",,"","2025-06-15 09:41:00","2502054596","b748f31a-7a37-4483-9320-d9ce03837bf4","Нет",,,,,,,,"04610007723176","878664c8-8024-4dfe-9971-454788f4c1ad","Надеждинский","7284440700590512","Да"
