"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 10:46:45","Безалкогольные напитки (соки/воды)","Республика Хакасия","Респ Хакасия, Ширинский р-н, с Шира, ул Курортная, 78","154467281440500862925482","0104607031101490215/*vichSEr+j=",,"","2025-06-11 12:07:00","2462210253","451e7b54-479b-49c8-8d83-4029f8559804","Нет",,,,,,,,"04607031101490","fbc3e3a0-e654-4445-8d63-f5af321253b2","Ширинский","7281440500862925","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 07:14:21","Безалкогольные напитки (соки/воды)","Республика Хакасия","Респ Хакасия, Ширинский р-н, с Шира, ул Курортная, 78","154467281440500862925482","0104607031101490215""6tZ0i;IhtDu",,"","2025-06-11 12:07:00","2462210253","6eb972bd-3ca1-407b-adfe-b5148d2bbcdc","Нет",,,,,,,,"04607031101490","fbc3e3a0-e654-4445-8d63-f5af321253b2","Ширинский","7281440500862925","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 06:59:22","Безалкогольные напитки (соки/воды)","Республика Хакасия","Респ Хакасия, Ширинский р-н, с Шира, ул Курортная, 78","154467281440500862925482","0104607031101490215SFBFuRgaif<n",,"","2025-06-11 12:07:00","2462210253","05192bbc-e496-4eb7-8f80-8cc8e7947fdd","Нет",,,,,,,,"04607031101490","fbc3e3a0-e654-4445-8d63-f5af321253b2","Ширинский","7281440500862925","Да"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 04:57:41","Безалкогольные напитки (соки/воды)","Республика Хакасия","Респ Хакасия, Ширинский р-н, с Шира, ул Курортная, 78","154467281440500862925482","0104607031101490215R9?GKRONcN5n",,"","2025-06-11 12:07:00","2462210253","0f2768a1-afc2-4e16-afe0-6af5ad7cbdfc","Нет",,,,,,,,"04607031101490","fbc3e3a0-e654-4445-8d63-f5af321253b2","Ширинский","7281440500862925","Да"
