"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:21:54","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ш Хатын-Юряхское, 9","144407284440700591143482","0104620021194241215Xlg:*",,"","2025-06-15 19:15:00","2724187340","909c6e0b-3ed6-4e51-a596-7cac72660f37","Нет",,,,,,,,"04620021194241","7d94d3a1-9883-402a-9381-10940f73995d","Якутск","7284440700591143","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:58:52","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Руднева, 71Б","646437284440700591736482","0104660214292538215+!Bnj",,"","2025-06-15 19:55:00","2724187340","aeefc04b-79e2-4813-aec3-547e35e4cbaf","Нет",,,,,,,,"04660214292538","35fac39b-84a7-4d84-96fd-20287b463f51","Хабаровск","7284440700591736","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:58:52","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Руднева, 71Б","646447284440700591736482","0104660214292538215.sXms",,"","2025-06-15 19:55:00","2724187340","94093dd7-374a-4e23-902e-5ebbfa072e45","Нет",,,,,,,,"04660214292538","35fac39b-84a7-4d84-96fd-20287b463f51","Хабаровск","7284440700591736","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:54:39","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, пр-кт Михаила Николаева, 28","161767281440500535825482","0104620021194241215ntrI/",,"","2025-06-15 18:49:00","2724187340","81d4614e-c976-4484-9545-4b6d86f7ee83","Нет",,,,,,,,"04620021194241","6f2022a8-5e82-4f78-bf15-442c30698a0a","Якутск","7281440500535825","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:54:39","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, пр-кт Михаила Николаева, 28","161767281440500535825482","0104620021194241215KRQjy",,"","2025-06-15 18:49:00","2724187340","2104ae99-16df-44d1-814b-f1fd8e63c673","Нет",,,,,,,,"04620021194241","6f2022a8-5e82-4f78-bf15-442c30698a0a","Якутск","7281440500535825","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:49:38","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Авиаторов, 21","9387380440801745847482","0104620021194241215Do6C'",,"","2025-06-15 18:45:00","2724187340","c8a876c2-3dd7-494d-8f31-5311a1960032","Нет",,,,,,,,"04620021194241","2766d060-57c9-4f57-b5a7-42d0d561c6c9","Якутск","7380440801745847","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:47:11","Молочная продукция","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, ул Кирова, 54","550027284440700591572482","0104660214292545215L>aig",,"","2025-06-15 19:42:00","2724187340","6b4812eb-f485-44a8-8a0c-95fe4a704e83","Нет",,,,,,,,"04660214292545","057468af-0b8e-41bb-bd13-8564e6048ecc","Комсомольск-на-Амуре","7284440700591572","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:47:11","Молочная продукция","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, ул Кирова, 54","550027284440700591572482","0104660214292545215L1yMo",,"","2025-06-15 19:42:00","2724187340","695e52e2-0751-4902-97f2-3b0c010d92db","Нет",,,,,,,,"04660214292545","057468af-0b8e-41bb-bd13-8564e6048ecc","Комсомольск-на-Амуре","7284440700591572","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:47:11","Молочная продукция","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, ул Кирова, 54","550027284440700591572482","0104660214292538215<rQfK",,"","2025-06-15 19:42:00","2724187340","4b47090f-eac3-48c7-b089-4020449db0a0","Нет",,,,,,,,"04660214292538","057468af-0b8e-41bb-bd13-8564e6048ecc","Комсомольск-на-Амуре","7284440700591572","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:47:11","Молочная продукция","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, ул Кирова, 54","550027284440700591572482","0104660214292538215<Sf+l",,"","2025-06-15 19:42:00","2724187340","225957ef-430e-4620-ac8f-661c13777bb6","Нет",,,,,,,,"04660214292538","057468af-0b8e-41bb-bd13-8564e6048ecc","Комсомольск-на-Амуре","7284440700591572","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:47:10","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, пр-кт Михаила Николаева, 28","171777281440500535831482","0104620021194241215mP'Vp",,"","2025-06-15 18:42:00","2724187340","25206476-efa4-4bd1-b419-1da591007bca","Нет",,,,,,,,"04620021194241","6f2022a8-5e82-4f78-bf15-442c30698a0a","Якутск","7281440500535831","Нет"
