"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:52:08","Молочная продукция","Красноярский край","Красноярский край, Кежемский р-н, г Кодинск, ул 2-я Коммунальная, 22, стр 1","20757380440802071515482","0104610421370222215/DliY",,"","2025-06-15 16:49:00","2462210285","bf15309d-1d5f-4d08-93aa-4bc993378134","Нет",,,,,,,,"04610421370222","9706866a-6e85-42fd-9509-c8bc055e2838","Кежемский","7380440802071515","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:52:08","Молочная продукция","Красноярский край","Красноярский край, Кежемский р-н, г Кодинск, ул 2-я Коммунальная, 22, стр 1","20757380440802071515482","0104610421370222215PEDt(",,"","2025-06-15 16:49:00","2462210285","8cbbcb3a-d0ed-43f8-b04c-848e72bf493b","Нет",,,,,,,,"04610421370222","9706866a-6e85-42fd-9509-c8bc055e2838","Кежемский","7380440802071515","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:00:02","Молочная продукция","Красноярский край","Красноярский край, Кежемский р-н, г Кодинск, ул 2-я Коммунальная, 22, стр 1","21427380440802070612482","0104610421370222215VegW0",,"","2025-06-15 13:33:00","2462210285","d6ce15bb-882e-4581-a66d-4620c2880fc2","Нет",,,,,,,,"04610421370222","9706866a-6e85-42fd-9509-c8bc055e2838","Кежемский","7380440802070612","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:17:07","Молочная продукция","Красноярский край","Красноярский край, Нижнеингашский р-н, пгт Нижняя Пойма, ул Строителей, 1Д","85477380440801740615482","0104603731310040215KMr(r",,"","2025-06-15 12:08:00","2462210285","13f68bbe-84c0-40a4-aca6-d9ce37e7a799","Нет",,,,,,,,"04603731310040","ff367c21-51df-44f4-9921-25acbc904d2e","Нижнеингашский","7380440801740615","Да"
