"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:40:35","Молочная продукция","Омская область","Омская обл, Исилькульский р-н, г Исилькуль, ул Пригородная, 18","338897380440801221432482","0104603406005141215?!bVb",,"","2025-06-15 16:33:00","5504242150","12d82254-7f75-4721-9bf6-14db0905c295","Нет",,,,,,,,"04603406005141","a2204595-b986-40c7-b4be-28d2f0ad7229","Исилькульский","7380440801221432","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 16:35:15","Молочная продукция","Омская область","Омская обл, Саргатский р-н, рп Саргатское, ул Кооперативная, 107","32997380440801820037482","0104627175131177215tSr<P",,"","2025-06-15 16:29:00","5504242150","be9c5136-2cbe-40ed-b80b-38ac4cee76c3","Нет",,,,,,,,"04627175131177","5eb37ab6-08f6-45e1-a9d4-134cb83741ca","Саргатский","7380440801820037","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:21:55","Молочная продукция","Омская область","Омская обл, г Омск, ул 21-я Амурская, 46Б","117407380440801953895482","0104603406005141215aBO83",,"","2025-06-15 16:16:00","5504242150","62edd165-2ffe-4a46-aa92-3f7f6486e2d3","Нет",,,,,,,,"04603406005141","c869fb76-a730-4e2e-8f1d-28367f15b53a","Омск","7380440801953895","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:21:55","Молочная продукция","Омская область","Омская обл, г Омск, ул 21-я Амурская, 46Б","117407380440801953895482","0104603406005141215djH:W",,"","2025-06-15 16:16:00","5504242150","6674ddb4-b9e3-45fe-b49f-372e2793d62c","Нет",,,,,,,,"04603406005141","c869fb76-a730-4e2e-8f1d-28367f15b53a","Омск","7380440801953895","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:21:55","Молочная продукция","Омская область","Омская обл, г Омск, ул 21-я Амурская, 46Б","117407380440801953895482","01046034060051412150zECe",,"","2025-06-15 16:16:00","5504242150","63fc8f38-8282-4a80-a5e9-6f446cfb908e","Нет",,,,,,,,"04603406005141","c869fb76-a730-4e2e-8f1d-28367f15b53a","Омск","7380440801953895","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 16:16:26","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","134977281440701615153482","0104627175131177215VEemg",,"","2025-06-15 16:10:00","5504242150","e228e283-8b21-4385-8fb9-162fa335e5b4","Нет",,,,,,,,"04627175131177","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7281440701615153","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:03:11","Молочная продукция","Омская область","Омская обл, Москаленский р-н, рп Москаленки, ул Пионерская, 4","15237380440801989540482","0104603406005141215Md*sB",,"","2025-06-15 15:57:00","5504242150","c3ff9f55-724e-42cd-8a7c-ee56f570b2f7","Нет",,,,,,,,"04603406005141","03e7f2c8-7f33-4daa-b9c7-b0044ba68bd3","Москаленский","7380440801989540","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:57:06","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Мира, 69Ю","343717380440800980038482","0104603406005141215hBNPZ",,"","2025-06-15 15:53:00","5504242150","c2bbf74e-3749-4abe-8140-37e5112695d1","Нет",,,,,,,,"04603406005141","2ad00523-7bea-49f6-aa3c-2e2479f7e484","Омск","7380440800980038","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:57:06","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Мира, 69Ю","343717380440800980038482","0104603406005141215X1Ta5",,"","2025-06-15 15:53:00","5504242150","6fb85af2-a392-43b7-ad93-f90782c68a9b","Нет",,,,,,,,"04603406005141","2ad00523-7bea-49f6-aa3c-2e2479f7e484","Омск","7380440800980038","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:47:11","Молочная продукция","Омская область","Омская обл, г Омск, ул Орджоникидзе, 164","104137380440700655951482","0104650168811060215fTS<v",,"","2025-06-15 15:43:00","5504242150","1aa36acd-48d9-4dc7-a25b-a1f320430ef2","Нет",,,,,,,,"04650168811060","63c205cb-cb9f-452f-ac34-1af4c7f38139","Омск","7380440700655951","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:27:12","Молочная продукция","Омская область","Омская обл, Тарский р-н, г Тара, ул Нерпинская, 92","59117380440801911174482","0104627175131030215&-fUi",,"","2025-06-15 15:20:00","5504242150","21cb1eff-5aa8-458b-b244-77f0a509491d","Нет",,,,,,,,"04627175131030","f71057a0-dca8-43fa-bc8e-812cd13d629e","Тарский","7380440801911174","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:22:14","Молочная продукция","Омская область","Омская обл, Тарский р-н, г Тара, ул Нерпинская, 92","85707380440801911169482","0104627175131030215rPkqS",,"","2025-06-15 15:18:00","5504242150","67016b59-9598-4912-aa85-3d2a7bd628cb","Нет",,,,,,,,"04627175131030","f71057a0-dca8-43fa-bc8e-812cd13d629e","Тарский","7380440801911169","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:22:14","Молочная продукция","Омская область","Омская обл, Тарский р-н, г Тара, ул Нерпинская, 92","85707380440801911169482","0104627175131030215*Ljbq",,"","2025-06-15 15:18:00","5504242150","ec0d2d13-48ab-4a87-85e3-4862fd5e1457","Нет",,,,,,,,"04627175131030","f71057a0-dca8-43fa-bc8e-812cd13d629e","Тарский","7380440801911169","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:16:39","Молочная продукция","Омская область","Омская обл, г Омск, ул Шебалдина, 60","37647380440801820153482","0104603406005141215Foe-Y",,"","2025-06-15 15:13:00","5504242150","56eab73d-47d9-42e9-8a63-820628981c90","Нет",,,,,,,,"04603406005141","cb98d538-6e75-4188-a729-d4a01f6a2b37","Омск","7380440801820153","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:16:39","Молочная продукция","Омская область","Омская обл, г Омск, ул Шебалдина, 60","37647380440801820153482","0104603406005141215BDbeK",,"","2025-06-15 15:13:00","5504242150","8773039f-3dd1-4d4a-a6e1-4ace348054f1","Нет",,,,,,,,"04603406005141","cb98d538-6e75-4188-a729-d4a01f6a2b37","Омск","7380440801820153","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:16:39","Молочная продукция","Омская область","Омская обл, г Омск, ул Шебалдина, 60","37647380440801820153482","0104603406005141215etBTb",,"","2025-06-15 15:13:00","5504242150","63377883-870b-452a-892b-0955ecb69245","Нет",,,,,,,,"04603406005141","cb98d538-6e75-4188-a729-d4a01f6a2b37","Омск","7380440801820153","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:16:39","Молочная продукция","Омская область","Омская обл, г Омск, ул Шебалдина, 60","37647380440801820153482","0104603406005141215-T<m""",,"","2025-06-15 15:13:00","5504242150","d94145fd-e7cd-45da-b3d0-e659c2a672a8","Нет",,,,,,,,"04603406005141","cb98d538-6e75-4188-a729-d4a01f6a2b37","Омск","7380440801820153","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 14:34:02","Молочная продукция","Омская область","Омская обл, Любинский р-н, рп Красный Яр, ул Дорожная, 13","366947380440700699362482","0104627175131177215aXlef",,"","2025-06-15 14:26:00","5504242150","8cdd9778-24d5-43b8-9687-a730b6216724","Нет",,,,,,,,"04627175131177","3afb1a11-e903-41aa-95a8-f9f5c7817c71","Любинский","7380440700699362","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 14:17:26","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Мира, 69Ю","343447380440800980038482","0104603406005141215PD:bX",,"","2025-06-15 14:11:00","5504242150","985d03ea-5aa0-4dad-8921-56820cf363ef","Нет",,,,,,,,"04603406005141","2ad00523-7bea-49f6-aa3c-2e2479f7e484","Омск","7380440800980038","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 14:17:26","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Мира, 69Ю","343447380440800980038482","0104603406005141215tcLCA",,"","2025-06-15 14:11:00","5504242150","5d976908-3fc7-45ed-85ea-ce4134d7f266","Нет",,,,,,,,"04603406005141","2ad00523-7bea-49f6-aa3c-2e2479f7e484","Омск","7380440800980038","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 14:00:08","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","62847380440801820321482","0104627175131030215lt4ir",,"","2025-06-15 13:48:00","5504242150","ec48551f-a817-4a91-a6f6-3966d15559d4","Нет",,,,,,,,"04627175131030","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7380440801820321","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 14:00:08","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","62847380440801820321482","0104627175131030215LWuWV",,"","2025-06-15 13:48:00","5504242150","c8622bf1-1fc7-4560-9205-889b9908f81b","Нет",,,,,,,,"04627175131030","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7380440801820321","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:55:20","Молочная продукция","Омская область","Омская обл, Калачинский р-н, г Калачинск, ул Вокзальная, 37","544917281440701627605482","0104603406005141215mh,Qi",,"","2025-06-15 13:44:00","5504242150","5db825a5-14df-4b45-9097-75936a7decc9","Нет",,,,,,,,"04603406005141","bf3b78dd-7019-43ec-a2f7-997d3238bc49","Калачинский","7281440701627605","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:36:31","Молочная продукция","Омская область","Омская обл, Тарский р-н, г Тара, ул Нерпинская, 92","85137380440801911169482","0104627175131030215k+iN)",,"","2025-06-15 13:18:00","5504242150","2511caf6-6eef-4589-a11a-b52b7f3633c7","Нет",,,,,,,,"04627175131030","f71057a0-dca8-43fa-bc8e-812cd13d629e","Тарский","7380440801911169","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:33:31","Молочная продукция","Омская область","Омская обл, г Омск, ул Шебалдина, 60","37277380440801820153482","0104603406005141215ATSiG",,"","2025-06-15 13:15:00","5504242150","06cba541-f7e1-4fa5-9817-34751f0c0dd2","Нет",,,,,,,,"04603406005141","cb98d538-6e75-4188-a729-d4a01f6a2b37","Омск","7380440801820153","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:30:21","Молочная продукция","Омская область","Омская обл, Любинский р-н, рп Красный Яр, ул Дорожная, 13","337297380440700698948482","0104627175131177215P7Cxl",,"","2025-06-15 13:06:00","5504242150","5ae631e6-a76d-49df-baf2-28885c1814b2","Нет",,,,,,,,"04627175131177","3afb1a11-e903-41aa-95a8-f9f5c7817c71","Любинский","7380440700698948","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:27:13","Молочная продукция","Омская область","Омская обл, Калачинский р-н, г Калачинск, ул Вокзальная, 37","607627281440701628934482","01046034060051412158BOYf",,"","2025-06-15 13:01:00","5504242150","2893a52b-a668-4836-a414-35584180a6e4","Нет",,,,,,,,"04603406005141","bf3b78dd-7019-43ec-a2f7-997d3238bc49","Калачинский","7281440701628934","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:22:12","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","62597380440801820321482","0104627175131177215vjgVt",,"","2025-06-15 12:56:00","5504242150","cd356eff-2318-4846-929a-30057a7481b7","Нет",,,,,,,,"04627175131177","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7380440801820321","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:14:27","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Космический, 54","298427384440800272297482","0104603406005141215KH,T(",,"","2025-06-15 12:48:00","5504242150","d107e8d8-9568-467a-b5ab-0f003672c7c2","Нет",,,,,,,,"04603406005141","9a98adb3-0057-455c-9f0f-e413637d419c","Омск","7384440800272297","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 13:14:27","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Космический, 54","298427384440800272297482","0104603406005141215SYQ%F",,"","2025-06-15 12:48:00","5504242150","64f536a8-058e-4b53-8ff4-2c748a228328","Нет",,,,,,,,"04603406005141","9a98adb3-0057-455c-9f0f-e413637d419c","Омск","7384440800272297","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:09:46","Молочная продукция","Омская область","Омская обл, Шербакульский р-н, рп Шербакуль, ул Гайдара, 18","373437380440700653481482","0104627175131177215eRVlT",,"","2025-06-15 12:43:00","5504242150","3b19cc43-0fd5-4a8a-80b5-d3fdc3069b87","Нет",,,,,,,,"04627175131177","f1358268-5268-4cbd-9c21-4ad83a733009","Шербакульский","7380440700653481","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:04:14","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","134357281440701615153482","0104627175131177215qEC-4",,"","2025-06-15 12:37:00","5504242150","0fcd1051-6d65-48a4-88d0-324548383607","Нет",,,,,,,,"04627175131177","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7281440701615153","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:00:01","Молочная продукция","Омская область","Омская обл, Седельниковский р-н, с Седельниково, ул Дорожная, 22","301857380440700653570482","0104627175131030215<GNsA",,"","2025-06-15 12:32:00","5504242150","8c5836d6-eda2-4e39-884c-c19b2f3c1404","Нет",,,,,,,,"04627175131030","deafdf77-5fae-4c2e-8c04-37e371f10a86","Седельниковский","7380440700653570","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:37:53","Молочная продукция","Омская область","Омская обл, г Омск, ул 4-я Челюскинцев, 1","53987384440800426871482","0104627175131177215FJqDB",,"","2025-06-15 12:20:00","5504242150","b4eb3071-1a35-4adf-9c4d-ee45c86ee797","Нет",,,,,,,,"04627175131177","44337f20-55ad-43ff-9c60-4c4aa56c6a65","Омск","7384440800426871","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:18:42","Молочная продукция","Омская область","Омская обл, Любинский р-н, рп Красный Яр, ул Дорожная, 13","337067380440700698948482","0104627175131177215&8Zzk",,"","2025-06-15 12:11:00","5504242150","bd393773-b5ae-44f4-8499-b3b6424f4376","Нет",,,,,,,,"04627175131177","3afb1a11-e903-41aa-95a8-f9f5c7817c71","Любинский","7380440700698948","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:38:51","Молочная продукция","Омская область","Омская обл, Любинский р-н, рп Красный Яр, ул Дорожная, 13","337017380440700698948482","0104627175131177215/VfZd",,"","2025-06-15 11:27:00","5504242150","47337922-7d00-4251-8a22-e330a133fc05","Нет",,,,,,,,"04627175131177","3afb1a11-e903-41aa-95a8-f9f5c7817c71","Любинский","7380440700698948","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 11:37:14","Молочная продукция","Омская область","Омская обл, г Омск, ул 21-я Амурская, 46Б","151377380440801953902482","0104603406005141215SqD""l",,"","2025-06-15 11:26:00","5504242150","4a7bdb6c-b510-4d55-9ddb-4d24f5a7232e","Нет",,,,,,,,"04603406005141","c869fb76-a730-4e2e-8f1d-28367f15b53a","Омск","7380440801953902","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 11:37:14","Молочная продукция","Омская область","Омская обл, г Омск, ул 21-я Амурская, 46Б","151377380440801953902482","0104603406005141215/CFLI",,"","2025-06-15 11:26:00","5504242150","b688cb69-4731-4ccb-89d4-e0db0c505741","Нет",,,,,,,,"04603406005141","c869fb76-a730-4e2e-8f1d-28367f15b53a","Омск","7380440801953902","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 11:37:14","Молочная продукция","Омская область","Омская обл, г Омск, ул 21-я Амурская, 46Б","151377380440801953902482","0104603406005141215tjap-",,"","2025-06-15 11:26:00","5504242150","cd845010-9b2e-46c2-a4fa-3453b53423d3","Нет",,,,,,,,"04603406005141","c869fb76-a730-4e2e-8f1d-28367f15b53a","Омск","7380440801953902","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:18:51","Молочная продукция","Омская область","Омская обл, г Омск, ул 4-я Челюскинцев, 1","157417384440800426975482","0104627175131177215gIDhH",,"","2025-06-15 11:14:00","5504242150","df238adc-f5d6-449d-ae93-08cc4ac31633","Нет",,,,,,,,"04627175131177","44337f20-55ad-43ff-9c60-4c4aa56c6a65","Омск","7384440800426975","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 11:17:59","Молочная продукция","Омская область","Омская обл, г Омск, ул Шебалдина, 60","87537380440801820375482","0104603406005141215YLl9k",,"","2025-06-15 11:10:00","5504242150","92e473f5-1554-4a8a-95b9-05f2eb78471f","Нет",,,,,,,,"04603406005141","cb98d538-6e75-4188-a729-d4a01f6a2b37","Омск","7380440801820375","Нет"
