"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 19:31:13","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Космический, 54","62147384440800272227482","0104603406005141215p72%3",,"","2025-06-15 19:26:00","5504242150","3a7b9f01-7f56-49a2-9150-9e0f71dfc01b","Нет",,,,,,,,"04603406005141","9a98adb3-0057-455c-9f0f-e413637d419c","Омск","7384440800272227","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 19:08:55","Молочная продукция","Омская область","Омская обл, Москаленский р-н, рп Москаленки, ул Пионерская, 4","13267380440802136986482","0104603406005141215rO+:k",,"","2025-06-15 19:01:00","5504242150","fe6e9262-2e48-4da3-b4a5-c6a2bcc53cda","Нет",,,,,,,,"04603406005141","03e7f2c8-7f33-4daa-b9c7-b0044ba68bd3","Москаленский","7380440802136986","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:47:07","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","63817380440801820321482","0104627175131177215VjmsN",,"","2025-06-15 18:43:00","5504242150","5c14ebd0-533e-4ce6-bd52-e073b022f494","Нет",,,,,,,,"04627175131177","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7380440801820321","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:42:15","Молочная продукция","Омская область","Омская обл, Тюкалинский р-н, г Тюкалинск, ул 2-я Магистральная, 3","122727380440700653684482","0104627175131177215*yihH",,"","2025-06-15 18:39:00","5504242150","7d7c35d6-b880-4549-a83a-d2a481d0a905","Нет",,,,,,,,"04627175131177","7dbd263d-7fbe-4756-8bd9-089076b8fce9","Тюкалинский","7380440700653684","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:34:40","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","63747380440801820321482","0104627175131177215VnsYO",,"","2025-06-15 18:31:00","5504242150","fb05294e-7534-4fa6-b116-a451da790e08","Нет",,,,,,,,"04627175131177","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7380440801820321","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:34:40","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","63747380440801820321482","0104627175131177215y6PqZ",,"","2025-06-15 18:31:00","5504242150","4382ca9c-4507-4563-8ae5-1fb0b33bb808","Нет",,,,,,,,"04627175131177","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7380440801820321","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 18:14:56","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Космический, 54","298887384440800272297482","0104603406005141215ZzNDV",,"","2025-06-15 18:09:00","5504242150","33aac649-5b9d-475d-8f51-c4b1ff760154","Нет",,,,,,,,"04603406005141","9a98adb3-0057-455c-9f0f-e413637d419c","Омск","7384440800272297","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 17:43:57","Молочная продукция","Омская область","Омская обл, г Омск, ул Орджоникидзе, 164","305127380440700656854482","0104650168811060215flejU",,"","2025-06-15 17:37:00","5504242150","c249f26f-8bc0-4a7b-a2de-a1ded79f9f16","Нет",,,,,,,,"04650168811060","63c205cb-cb9f-452f-ac34-1af4c7f38139","Омск","7380440700656854","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 17:43:56","Молочная продукция","Омская область","Омская обл, Калачинский р-н, г Калачинск, ул Вокзальная, 37","545637281440701627605482","0104603406005141215xHgKP",,"","2025-06-15 17:39:00","5504242150","ced270e7-26dc-4a0e-86ab-7037c82d593a","Нет",,,,,,,,"04603406005141","bf3b78dd-7019-43ec-a2f7-997d3238bc49","Калачинский","7281440701627605","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 17:41:59","Молочная продукция","Омская область","Омская обл, г Омск, ул 5-я Кордная, 1","181397384440800219379482","0104603406005141215suyBH",,"","2025-06-15 17:37:00","5504242150","646ca800-697a-4b5a-a420-e5226081af4a","Нет",,,,,,,,"04603406005141","68e53e77-77b5-4bc4-a52e-7b259d1adcaa","Омск","7384440800219379","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 17:40:38","Молочная продукция","Омская область","Омская обл, Любинский р-н, рп Красный Яр, ул Дорожная, 13","337497380440700698948482","0104627175131177215B'a'G",,"","2025-06-15 17:33:00","5504242150","de882f79-cc54-4f34-b99b-294a5d9af16e","Нет",,,,,,,,"04627175131177","3afb1a11-e903-41aa-95a8-f9f5c7817c71","Любинский","7380440700698948","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 17:13:52","Молочная продукция","Омская область","Омская обл, г Омск, пр-кт Космический, 54","298647384440800272297482","0104603406005141215!bfH2",,"","2025-06-15 17:09:00","5504242150","79a44063-d100-4bc5-b62b-bc21da5077d8","Нет",,,,,,,,"04603406005141","9a98adb3-0057-455c-9f0f-e413637d419c","Омск","7384440800272297","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 17:07:21","Молочная продукция","Омская область","Омская обл, Азовский немецкий национальный р-н, с Азово, ул Российская, 47","135247281440701615153482","0104627175131030215lSVoy",,"","2025-06-15 17:03:00","5504242150","4ddac57b-bc95-49be-bf05-a6d104e40258","Нет",,,,,,,,"04627175131030","75b91049-2c38-4a67-92c8-06fffd699f02","Азовский немецкий","7281440701615153","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 17:04:38","Молочная продукция","Омская область","Омская обл, Шербакульский р-н, рп Шербакуль, ул Гайдара, 18","374207380440700653481482","0104627175131177215Es%J:",,"","2025-06-15 16:57:00","5504242150","3628c25f-7651-400d-b944-efe124096661","Нет",,,,,,,,"04627175131177","f1358268-5268-4cbd-9c21-4ad83a733009","Шербакульский","7380440700653481","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 17:04:38","Молочная продукция","Омская область","Омская обл, Седельниковский р-н, с Седельниково, ул Дорожная, 22","211757380440700655407482","0104627175131030215<'VCF",,"","2025-06-15 16:58:00","5504242150","99f34c10-a05e-4f10-9060-b4cef4acf7b9","Нет",,,,,,,,"04627175131030","deafdf77-5fae-4c2e-8c04-37e371f10a86","Седельниковский","7380440700655407","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 17:04:38","Молочная продукция","Омская область","Омская обл, Седельниковский р-н, с Седельниково, ул Дорожная, 22","211757380440700655407482","0104627175131030215<bs=f",,"","2025-06-15 16:58:00","5504242150","1ad68d63-c8f4-4439-b9b8-72c44c4b4a97","Нет",,,,,,,,"04627175131030","deafdf77-5fae-4c2e-8c04-37e371f10a86","Седельниковский","7380440700655407","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 17:04:38","Молочная продукция","Омская область","Омская обл, Шербакульский р-н, рп Шербакуль, ул Гайдара, 18","374207380440700653481482","0104627175131177215ePcTB",,"","2025-06-15 16:57:00","5504242150","a447130e-8ab5-40b7-a10f-23bed8a014cd","Нет",,,,,,,,"04627175131177","f1358268-5268-4cbd-9c21-4ad83a733009","Шербакульский","7380440700653481","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:50:04","Молочная продукция","Омская область","Омская обл, г Омск, ул 5-я Кордная, 1","181217384440800219379482","0104603406005141215CX>=H",,"","2025-06-15 16:45:00","5504242150","2c382d51-d7b1-4190-ade3-e2bcaa7c3aad","Нет",,,,,,,,"04603406005141","68e53e77-77b5-4bc4-a52e-7b259d1adcaa","Омск","7384440800219379","Нет"
