"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:36:31","Молочная продукция","Новосибирская область","Новосибирская обл, Болотнинский р-н, г Болотное, ул Московская, 213","614457380440700328557482","0104627175131030215sOOkL",,"","2025-06-15 14:19:00","5405475428","bb6a0cef-205e-4965-bfd9-ad4b47753189","Нет",,,,,,,,"04627175131030","8a24281c-03aa-413c-8501-ab771a0e990c","Болотнинский","7380440700328557","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:33:36","Молочная продукция","Новосибирская область","Новосибирская обл, Новосибирский р-н, с Толмачево, ул Победы, 1","116627380440801963259482","0104627175131030215VP1T6",,"","2025-06-15 14:10:00","5405475428","0076df58-eccd-48fb-9fbb-b52f0d3c23d0","Нет",,,,,,,,"04627175131030","f5f6c29b-549f-48e3-9baa-d4b82931d59d","Новосибирский","7380440801963259","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:33:36","Молочная продукция","Новосибирская область","Новосибирская обл, Новосибирский р-н, с Толмачево, ул Победы, 1","97957380440801963220482","0104627175131030215W>;C=",,"","2025-06-15 14:16:00","5405475428","d9c4b0e7-3675-4210-8c29-1dc903e8ed3f","Нет",,,,,,,,"04627175131030","f5f6c29b-549f-48e3-9baa-d4b82931d59d","Новосибирский","7380440801963220","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:30:21","Молочная продукция","Новосибирская область","Новосибирская обл, Венгеровский р-н, с Венгерово, ул Ленина, 215А","164907380440700552088482","0104627175131030215Y:1SE",,"","2025-06-15 14:08:00","5405475428","9bdb393c-f45e-4f07-b7aa-9bdea992e17d","Нет",,,,,,,,"04627175131030","2303e7ec-a36a-493f-8e4c-90161954c894","Венгеровский","7380440700552088","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:30:21","Молочная продукция","Новосибирская область","Новосибирская обл, г Бердск, пер Промышленный, 2А","343757380440801336116482","0104627175131030215/VXpl",,"","2025-06-15 14:04:00","5405475428","a4b62602-ffc2-4e14-a58e-28144917a8f4","Нет",,,,,,,,"04627175131030","1b7e1040-d6b6-44dc-92c7-23568ae78b00","Бердск","7380440801336116","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:27:11","Молочная продукция","Новосибирская область","Новосибирская обл, Мошковский р-н, рп Мошково, ул Вокзальная, 1/10","412257380440700219261482","0104627175131030215RSukS",,"","2025-06-15 14:02:00","5405475428","76523a6a-79fc-4644-a49f-220e29e077e8","Нет",,,,,,,,"04627175131030","ad6410f8-d1c3-41cc-a166-2303a55b2311","Мошковский","7380440700219261","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:24:43","Молочная продукция","Новосибирская область","Новосибирская обл, Карасукский р-н, г Карасук, ул Кутузова, 8В","493327380440700616735482","0104627175131030215INz67",,"","2025-06-15 14:00:00","5405475428","6b73e473-19f3-41d7-abc9-1abff0184fc9","Нет",,,,,,,,"04627175131030","bbc43035-35ff-4b35-9c05-4ccd81863f06","Карасукский","7380440700616735","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:19:45","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул 9-й Гвардейской Дивизии, 11Б","431567380440800840182482","0104627175131030215jg5i/",,"","2025-06-15 13:52:00","5405475428","5aa78806-4fd4-40fe-b329-f5640f3c6528","Нет",,,,,,,,"04627175131030","94083569-21e8-44e1-9a5c-af627db8b107","Новосибирск","7380440800840182","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:19:45","Молочная продукция","Новосибирская область","Новосибирская обл, г Бердск, пер Промышленный, 2А","554177380440801033487482","0104627175131030215)R4D*",,"","2025-06-15 13:52:00","5405475428","a5ba944d-04a5-4b39-b52a-984ad586038d","Нет",,,,,,,,"04627175131030","1b7e1040-d6b6-44dc-92c7-23568ae78b00","Бердск","7380440801033487","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:12:08","Молочная продукция","Новосибирская область","Новосибирская обл, Краснозерский р-н, рп Краснозерское, ул Промышленная, 1","72427380440802006192482","0104627175131030215:FAVP",,"","2025-06-15 13:44:00","5405475428","13e9592b-bfb7-4e28-a3c5-88216dfd5130","Нет",,,,,,,,"04627175131030","6b0cf03d-65d9-46c2-8ffc-b3b8b5530bcc","Краснозерский","7380440802006192","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 13:09:47","Молочная продукция","Новосибирская область","Новосибирская обл, Черепановский р-н, г Черепаново, ул Спирякова, 224","51317380440902157716482","0104627175131030215tSCnR",,"","2025-06-15 13:42:00","5405475428","466750ac-d98e-45da-a626-bf9d77568e9a","Нет",,,,,,,,"04627175131030","00d4c333-0f0a-4e9e-9625-32feddce4367","Черепановский","7380440902157716","Да"
